36,5,"[0, 2, 2, 3]","[0, 2, 2, 4]"
36,6,"[0, 2, 3, 4]","[0, 2, 4, 4]"
36,7,"[0, 2, 3, 4]","[0, 2, 3, 4]"
36,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
36,9,"[0, 3, 4, 4]","[0, 3, 4, 4]"
1,0,"[0, 2, 3, 4]","[0, 2, 3, 4]"
1,1,"[0, 3, 4, 4]","[0, 4, 4, 4]"
1,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
1,3,"[0, 3, 3, 4]","[0, 3, 3, 4]"
1,4,"[2, 3, 4, 4]","[2, 3, 4, 4]"
1,5,"[1, 2, 3, 4]","[1, 3, 4, 4]"
1,6,"[0, 2, 3, 4]","[0, 2, 4, 4]"
1,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
1,8,"[0, 2, 4, 4]","[0, 4, 4, 4]"
1,9,"[1, 2, 3, 4]","[1, 2, 4, 4]"
21,0,"[0, 2, 4, 4]","[0, 3, 4, 4]"
21,1,"[1, 2, 3, 4]","[1, 2, 4, 4]"
21,2,"[0, 2, 3, 4]","[0, 3, 4, 4]"
21,3,"[0, 2, 3, 4]","[0, 2, 4, 4]"
21,4,"[0, 2, 3, 4]","[0, 2, 4, 4]"
21,5,"[2, 3, 4, 4]","[2, 3, 4, 4]"
21,6,"[2, 2, 4, 4]","[2, 2, 4, 4]"
21,7,"[0, 2, 4, 4]","[0, 3, 4, 4]"
21,8,"[2, 2, 4, 4]","[2, 2, 4, 4]"
21,9,"[0, 2, 3, 4]","[0, 3, 3, 4]"
24,0,"[1, 3, 4, 4]","[1, 3, 4, 4]"
24,1,"[1, 1, 2, 4]","[1, 1, 4, 4]"
24,2,"[0, 2, 4, 4]","[0, 3, 4, 4]"
24,3,"[0, 3, 4, 4]","[0, 4, 4, 4]"
24,4,"[1, 2, 4, 4]","[1, 3, 4, 4]"
24,5,"[1, 3, 4, 4]","[1, 3, 4, 4]"
24,6,"[1, 2, 4, 4]","[1, 3, 4, 4]"
24,7,"[1, 3, 3, 4]","[1, 3, 3, 4]"
24,8,"[0, 2, 3, 4]","[0, 2, 3, 4]"
24,9,"[0, 2, 3, 3]","[0, 2, 3, 4]"
23,0,"[1, 2, 2, 3]","[1, 2, 3, 4]"
23,1,"[1, 3, 4, 4]","[1, 3, 4, 4]"
23,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
23,3,"[0, 3, 4, 4]","[0, 3, 4, 4]"
23,4,"[0, 2, 3, 4]","[0, 2, 4, 4]"
23,5,"[0, 2, 3, 4]","[0, 2, 4, 4]"
23,6,"[1, 4, 4, 4]","[1, 4, 4, 4]"
23,7,"[0, 2, 3, 4]","[0, 2, 3, 4]"
23,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
23,9,"[2, 3, 4, 4]","[2, 3, 4, 4]"
22,0,"[1, 1, 3, 4]","[1, 1, 4, 4]"
22,1,"[0, 3, 3, 4]","[0, 3, 3, 4]"
22,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
22,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
22,4,"[1, 2, 3, 4]","[1, 2, 4, 4]"
22,5,"[1, 1, 3, 4]","[1, 1, 4, 4]"
22,6,"[0, 2, 4, 4]","[0, 2, 4, 4]"
22,7,"[1, 3, 3, 4]","[1, 3, 3, 4]"
22,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
22,9,"[1, 3, 4, 4]","[1, 3, 4, 4]"
33,0,"[1, 3, 4, 4]","[1, 3, 4, 4]"
33,1,"[0, 2, 3, 4]","[0, 2, 4, 4]"
33,2,"[1, 4, 4, 4]","[1, 4, 4, 4]"
33,3,"[0, 2, 4, 4]","[0, 2, 4, 4]"
33,4,"[1, 2, 2, 3]","[1, 2, 2, 4]"
33,5,"[1, 2, 4, 4]","[1, 3, 4, 4]"
33,6,"[1, 2, 4, 4]","[1, 2, 4, 4]"
33,7,"[1, 2, 3, 4]","[1, 2, 4, 4]"
33,8,"[1, 2, 4, 4]","[1, 3, 4, 4]"
33,9,"[0, 1, 2, 4]","[0, 2, 4, 4]"
32,0,"[0, 2, 3, 4]","[0, 3, 3, 4]"
32,1,"[0, 2, 3, 3]","[0, 2, 3, 4]"
32,2,"[0, 3, 4, 4]","[0, 4, 4, 4]"
32,3,"[0, 2, 3, 4]","[0, 3, 3, 4]"
32,4,"[0, 3, 3, 4]","[0, 3, 3, 4]"
32,5,"[1, 3, 4, 4]","[1, 3, 4, 4]"
32,6,"[0, 2, 4, 4]","[0, 2, 4, 4]"
32,7,"[1, 2, 3, 4]","[1, 2, 4, 4]"
32,8,"[0, 2, 3, 4]","[0, 3, 4, 4]"
32,9,"[0, 2, 4, 4]","[0, 4, 4, 4]"
25,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
25,1,"[1, 2, 4, 4]","[1, 2, 4, 4]"
25,2,"[0, 3, 4, 4]","[0, 3, 4, 4]"
25,3,"[1, 1, 2, 3]","[1, 1, 3, 4]"
25,4,"[0, 2, 4, 4]","[0, 3, 4, 4]"
25,5,"[1, 2, 3, 3]","[1, 2, 3, 4]"
25,6,"[0, 1, 3, 3]","[0, 1, 3, 4]"
25,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
25,8,"[0, 3, 4, 4]","[0, 3, 4, 4]"
25,9,"[0, 3, 3, 4]","[0, 3, 3, 4]"
37,0,"[1, 2, 3, 4]","[1, 2, 4, 4]"
37,1,"[0, 2, 4, 4]","[0, 3, 4, 4]"
37,2,"[0, 1, 2, 3]","[0, 1, 3, 4]"
37,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
37,4,"[0, 3, 4, 4]","[0, 4, 4, 4]"
37,5,"[1, 2, 3, 4]","[1, 2, 4, 4]"
37,6,"[1, 3, 3, 4]","[1, 3, 4, 4]"
37,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
37,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
37,9,"[1, 4, 4, 4]","[1, 4, 4, 4]"
29,0,"[0, 3, 4, 4]","[0, 4, 4, 4]"
29,1,"[0, 2, 4, 4]","[0, 2, 4, 4]"
29,2,"[0, 3, 3, 4]","[0, 3, 3, 4]"
29,3,"[1, 3, 4, 4]","[1, 3, 4, 4]"
29,4,"[0, 2, 3, 4]","[0, 3, 4, 4]"
29,5,"[1, 2, 3, 4]","[1, 2, 4, 4]"
29,6,"[0, 2, 4, 4]","[0, 3, 4, 4]"
29,7,"[1, 2, 3, 4]","[1, 2, 4, 4]"
29,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
29,9,"[1, 3, 3, 4]","[1, 3, 3, 4]"
5,0,"[1, 3, 4, 4]","[1, 3, 4, 4]"
5,1,"[0, 2, 4, 4]","[0, 3, 4, 4]"
5,2,"[0, 2, 4, 4]","[0, 3, 4, 4]"
5,3,"[0, 3, 4, 4]","[0, 4, 4, 4]"
5,4,"[0, 3, 3, 4]","[0, 3, 3, 4]"
5,5,"[0, 3, 4, 4]","[0, 3, 4, 4]"
5,6,"[0, 1, 2, 4]","[0, 1, 4, 4]"
5,7,"[1, 2, 3, 4]","[1, 2, 4, 4]"
5,8,"[1, 3, 4, 4]","[1, 4, 4, 4]"
5,9,"[2, 2, 3, 4]","[2, 2, 3, 4]"
30,0,"[0, 3, 3, 4]","[0, 3, 3, 4]"
30,1,"[1, 2, 3, 4]","[1, 2, 4, 4]"
30,2,"[0, 2, 3, 4]","[0, 2, 4, 4]"
30,3,"[0, 3, 3, 4]","[0, 3, 3, 4]"
30,4,"[1, 2, 4, 4]","[1, 2, 4, 4]"
30,5,"[2, 3, 4, 4]","[2, 3, 4, 4]"
30,6,"[0, 2, 4, 4]","[0, 2, 4, 4]"
30,7,"[0, 3, 3, 4]","[0, 3, 4, 4]"
30,8,"[0, 2, 3, 4]","[0, 2, 4, 4]"
30,9,"[0, 2, 3, 4]","[0, 3, 4, 4]"
31,0,"[0, 2, 3, 4]","[0, 2, 4, 4]"
31,1,"[0, 4, 4, 4]","[0, 4, 4, 4]"
31,2,"[0, 4, 4, 4]","[0, 4, 4, 4]"
31,3,"[0, 1, 2, 4]","[0, 1, 4, 4]"
31,4,"[0, 2, 4, 4]","[0, 2, 4, 4]"
31,5,"[0, 3, 3, 4]","[0, 3, 3, 4]"
31,6,"[0, 2, 3, 4]","[0, 2, 4, 4]"
31,7,"[0, 2, 3, 4]","[0, 2, 4, 4]"
31,8,"[2, 2, 3, 4]","[2, 2, 4, 4]"
