1.25,43,"([1, 0.5, 0.1, 0, 0], [0.17, 0.08, 0.01, 0.0, 0.0])"
1.25,42,"([0.6, 0.9, 0, 0, 0], [0.08, 0.12000000000000001, 0.0, 0.0, 0.0])"
1.25,48,"([0.9, 0.5, 0, 0, 0], [0.21, 0.05, 0.0, 0.0, 0.0])"
1.25,58,"([0.8, 0.8, 0, 0, 0], [0.16, 0.12000000000000001, 0.0, 0.0, 0.0])"
1.25,57,"([0.9, 0.7, 0, 0, 0], [0.11, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,41,"([0.9, 0.7, 0, 0, 0], [0.16, 0.08, 0.0, 0.0, 0.0])"
1.25,76,"([0.7, 0.6, 0, 0, 0], [0.12000000000000001, 0.07, 0.0, 0.0, 0.0])"
1.25,53,"([0.9, 0.8, 0, 0, 0], [0.19, 0.11, 0.0, 0.0, 0.0])"
1.25,75,"([1, 0.7, 0.1, 0, 0], [0.16, 0.09000000000000001, 0.01, 0.0, 0.0])"
1.25,54,"([1, 0.6, 0, 0, 0], [0.2, 0.08, 0.0, 0.0, 0.0])"
1.25,62,"([0.9, 0.8, 0.1, 0, 0], [0.16, 0.11, 0.01, 0.0, 0.0])"
1.25,65,"([0.7, 0.5, 0.1, 0, 0], [0.14, 0.07, 0.01, 0.0, 0.0])"
1.25,66,"([0.9, 0.6, 0.1, 0, 0], [0.21000000000000002, 0.060000000000000005, 0.01, 0.0, 0.0])"
1.25,74,"([0.9, 0.4, 0.1, 0, 0], [0.13, 0.07, 0.01, 0.0, 0.0])"
1.25,69,"([0.8, 0.8, 0.2, 0, 0], [0.16, 0.12000000000000001, 0.02, 0.0, 0.0])"
1.25,63,"([0.9, 0.8, 0, 0, 0], [0.19, 0.11, 0.0, 0.0, 0.0])"
1.25,68,"([1, 0.8, 0, 0, 0], [0.15000000000000002, 0.1, 0.0, 0.0, 0.0])"
1.25,56,"([0.7, 0.5, 0, 0, 0], [0.12000000000000001, 0.060000000000000005, 0.0, 0.0, 0.0])"
1.25,70,"([0.9, 0.9, 0, 0, 0], [0.17, 0.1, 0.0, 0.0, 0.0])"
1.25,79,"([0.8, 0.3, 0, 0, 0], [0.18, 0.030000000000000002, 0.0, 0.0, 0.0])"
1.25,71,"([0.8, 0.5, 0, 0, 0], [0.18, 0.05, 0.0, 0.0, 0.0])"
1.25,67,"([0.8, 0.7, 0, 0, 0], [0.2, 0.09000000000000001, 0.0, 0.0, 0.0])"
1.25,72,"([0.9, 0.6, 0.1, 0, 0], [0.2, 0.09000000000000001, 0.01, 0.0, 0.0])"
1.25,64,"([1, 0.5, 0, 0, 0], [0.24, 0.07, 0.0, 0.0, 0.0])"
1.25,61,"([0.9, 0.6, 0, 0, 0], [0.19, 0.08, 0.0, 0.0, 0.0])"
1.25,73,"([0.9, 0.5, 0, 0, 0], [0.2, 0.12, 0.0, 0.0, 0.0])"
1.25,86,"([0.9, 0.8, 0, 0, 0], [0.2, 0.11, 0.0, 0.0, 0.0])"
1.25,85,"([0.8, 0.5, 0, 0, 0], [0.17, 0.08, 0.0, 0.0, 0.0])"
1.25,92,"([1, 0.4, 0, 0, 0], [0.19, 0.05, 0.0, 0.0, 0.0])"
